bar,beat,time_s,frame
1,1,0.0,1
1,2,0.426,11
1,3,0.851,21
1,4,1.277,32
2,1,1.702,42
2,2,2.128,52
2,3,2.553,62
2,4,2.979,72
3,1,3.404,83
3,2,3.83,93
3,3,4.255,103
3,4,4.681,113
4,1,5.106,124
4,2,5.532,134
4,3,5.957,144
4,4,6.383,154
5,1,6.809,164
5,2,7.234,175
5,3,7.66,185
5,4,8.085,195
6,1,8.511,205
6,2,8.936,215
6,3,9.362,226
6,4,9.787,236
7,1,10.213,246
7,2,10.638,256
7,3,11.064,267
7,4,11.489,277
8,1,11.915,287
8,2,12.34,297
8,3,12.766,307
8,4,13.191,318
9,1,13.617,328
9,2,14.043,338
9,3,14.468,348
9,4,14.894,358
10,1,15.319,369
10,2,15.745,379
10,3,16.17,389
10,4,16.596,399
11,1,17.021,410
11,2,17.447,420
11,3,17.872,430
11,4,18.298,440
12,1,18.723,450
12,2,19.149,461
12,3,19.574,471
12,4,20.0,481
13,1,20.426,491
13,2,20.851,501
13,3,21.277,512
13,4,21.702,522
14,1,22.128,532
14,2,22.553,542
14,3,22.979,552
14,4,23.404,563
15,1,23.83,573
15,2,24.255,583
15,3,24.681,593
15,4,25.106,604
16,1,25.532,614
16,2,25.957,624
16,3,26.383,634
16,4,26.809,644
17,1,27.234,655
17,2,27.66,665
17,3,28.085,675
17,4,28.511,685
18,1,28.936,695
18,2,29.362,706
18,3,29.787,716
18,4,30.213,726
19,1,30.638,736
19,2,31.064,747
19,3,31.489,757
19,4,31.915,767
20,1,32.34,777
20,2,32.766,787
20,3,33.191,798
20,4,33.617,808
21,1,34.043,818
21,2,34.468,828
21,3,34.894,838
21,4,35.319,849
22,1,35.745,859
22,2,36.17,869
22,3,36.596,879
22,4,37.021,890
23,1,37.447,900
23,2,37.872,910
23,3,38.298,920
23,4,38.723,930
24,1,39.149,941
24,2,39.574,951
24,3,40.0,961
24,4,40.426,971
25,1,40.851,981
25,2,41.277,992
25,3,41.702,1002
25,4,42.128,1012
26,1,42.553,1022
26,2,42.979,1032
26,3,43.404,1043
26,4,43.83,1053
27,1,44.255,1063
27,2,44.681,1073
27,3,45.106,1084
27,4,45.532,1094
28,1,45.957,1104
28,2,46.383,1114
28,3,46.809,1124
28,4,47.234,1135
29,1,47.66,1145
29,2,48.085,1155
29,3,48.511,1165
29,4,48.936,1175
30,1,49.362,1186
30,2,49.787,1196
30,3,50.213,1206
30,4,50.638,1216
31,1,51.064,1227
31,2,51.489,1237
31,3,51.915,1247
31,4,52.34,1257
32,1,52.766,1267
32,2,53.191,1278
32,3,53.617,1288
32,4,54.043,1298
33,1,54.468,1308
33,2,54.894,1318
33,3,55.319,1329
33,4,55.745,1339
34,1,56.17,1349
34,2,56.596,1359
34,3,57.021,1370
34,4,57.447,1380
35,1,57.872,1390
35,2,58.298,1400
35,3,58.723,1410
35,4,59.149,1421
36,1,59.574,1431
36,2,60.0,1441
36,3,60.426,1451
36,4,60.851,1461
37,1,61.277,1472
37,2,61.702,1482
37,3,62.128,1492
37,4,62.553,1502
38,1,62.979,1512
38,2,63.404,1523
38,3,63.83,1533
38,4,64.255,1543
39,1,64.681,1553
39,2,65.106,1564
39,3,65.532,1574
39,4,65.957,1584
40,1,66.383,1594
40,2,66.809,1604
40,3,67.234,1615
40,4,67.66,1625
41,1,68.085,1635
41,2,68.511,1645
41,3,68.936,1655
41,4,69.362,1666
42,1,69.787,1676
42,2,70.213,1686
42,3,70.638,1696
42,4,71.064,1707
43,1,71.489,1717
43,2,71.915,1727
43,3,72.34,1737
43,4,72.766,1747
44,1,73.191,1758
44,2,73.617,1768
44,3,74.043,1778
44,4,74.468,1788
45,1,74.894,1798
45,2,75.319,1809
45,3,75.745,1819
45,4,76.17,1829
46,1,76.596,1839
46,2,77.021,1850
46,3,77.447,1860
46,4,77.872,1870
47,1,78.298,1880
47,2,78.723,1890
47,3,79.149,1901
47,4,79.574,1911
48,1,80.0,1921
48,2,80.426,1931
48,3,80.851,1941
48,4,81.277,1952
49,1,81.702,1962
49,2,82.128,1972
49,3,82.553,1982
49,4,82.979,1992
50,1,83.404,2003
50,2,83.83,2013
50,3,84.255,2023
50,4,84.681,2033
51,1,85.106,2044
51,2,85.532,2054
51,3,85.957,2064
51,4,86.383,2074
52,1,86.809,2084
52,2,87.234,2095
52,3,87.66,2105
52,4,88.085,2115
53,1,88.511,2125
53,2,88.936,2135
53,3,89.362,2146
53,4,89.787,2156
54,1,90.213,2166
54,2,90.638,2176
54,3,91.064,2187
54,4,91.489,2197
55,1,91.915,2207
55,2,92.34,2217
55,3,92.766,2227
55,4,93.191,2238
56,1,93.617,2248
56,2,94.043,2258
56,3,94.468,2268
56,4,94.894,2278
57,1,95.319,2289
57,2,95.745,2299
57,3,96.17,2309
57,4,96.596,2319
58,1,97.021,2330
58,2,97.447,2340
58,3,97.872,2350
58,4,98.298,2360
59,1,98.723,2370
59,2,99.149,2381
59,3,99.574,2391
59,4,100.0,2401
60,1,100.426,2411
60,2,100.851,2421
60,3,101.277,2432
60,4,101.702,2442
61,1,102.128,2452
61,2,102.553,2462
61,3,102.979,2472
61,4,103.404,2483
62,1,103.83,2493
62,2,104.255,2503
62,3,104.681,2513
62,4,105.106,2524
63,1,105.532,2534
63,2,105.957,2544
63,3,106.383,2554
63,4,106.809,2564
64,1,107.234,2575
64,2,107.66,2585
64,3,108.085,2595
64,4,108.511,2605
65,1,108.936,2615
65,2,109.362,2626
65,3,109.787,2636
65,4,110.213,2646
66,1,110.638,2656
66,2,111.064,2667
66,3,111.489,2677
66,4,111.915,2687
67,1,112.34,2697
67,2,112.766,2707
67,3,113.191,2718
67,4,113.617,2728
68,1,114.043,2738
68,2,114.468,2748
68,3,114.894,2758
68,4,115.319,2769
69,1,115.745,2779
69,2,116.17,2789
69,3,116.596,2799
69,4,117.021,2810
70,1,117.447,2820
70,2,117.872,2830
70,3,118.298,2840
70,4,118.723,2850
71,1,119.149,2861
71,2,119.574,2871
71,3,120.0,2881
71,4,120.426,2891
72,1,120.851,2901
72,2,121.277,2912
72,3,121.702,2922
72,4,122.128,2932
73,1,122.553,2942
73,2,122.979,2952
73,3,123.404,2963
73,4,123.83,2973
74,1,124.255,2983
74,2,124.681,2993
74,3,125.106,3004
74,4,125.532,3014
75,1,125.957,3024
75,2,126.383,3034
75,3,126.809,3044
75,4,127.234,3055
76,1,127.66,3065
76,2,128.085,3075
76,3,128.511,3085
76,4,128.936,3095
77,1,129.362,3106
77,2,129.787,3116
77,3,130.213,3126
77,4,130.638,3136
78,1,131.064,3147
78,2,131.489,3157
78,3,131.915,3167
78,4,132.34,3177
79,1,132.766,3187
79,2,133.191,3198
79,3,133.617,3208
79,4,134.043,3218
80,1,134.468,3228
80,2,134.894,3238
80,3,135.319,3249
80,4,135.745,3259
81,1,136.17,3269
81,2,136.596,3279
81,3,137.021,3290
81,4,137.447,3300
82,1,137.872,3310
82,2,138.298,3320
82,3,138.723,3330
82,4,139.149,3341
83,1,139.574,3351
83,2,140.0,3361
83,3,140.426,3371
83,4,140.851,3381
84,1,141.277,3392
84,2,141.702,3402
84,3,142.128,3412
84,4,142.553,3422
85,1,142.979,3432
85,2,143.404,3443
